Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2008","2008","","30.22","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2009","2009","","60.86","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2010","2010","","45.78","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2011","2011","","47.52","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2012","2012","","56.02","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2013","2013","","40.65","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2014","2014","","56.19","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2015","2015","","50.95","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2016","2016","","192.86","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2017","2017","","209.38","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2018","2018","","36.09","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2019","2019","","43.09","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2020","2020","","27.26","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2021","2021","","17.45","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2022","2022","","40.95","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01343","Apricots","2023","2023","","40.85","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2003","2003","","39.88","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2004","2004","","56.05","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2005","2005","","59.72","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2006","2006","","60.2","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2007","2007","","42.06","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2008","2008","","31.28","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2009","2009","","62.67","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2010","2010","","46.91","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2011","2011","","48.45","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2012","2012","","56.83","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2013","2013","","41.03","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2014","2014","","56.44","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2015","2015","","51","E","Estimated value"
